State,Description,Temperature,Feels_Like_Temperature,Min_Temperature,Max_Temperature,Humidity,Clouds
Biharia,clear sky,269.21,264.36,266.02,269.21,74,0
Jharkhand,clear sky,302.97,301.14,302.97,302.97,12,0
Goa,clear sky,310.67,308.82,310.67,310.67,18,3
Uttar Pradesh,clear sky,300.14,299.38,300.14,300.14,25,0
Karnataka,scattered clouds,303.03,301.54,303.03,303.03,26,29
Punjab,clear sky,305.38,303.2,305.38,305.38,17,7
Haryana,clear sky,304.34,302.49,304.34,304.34,22,0
Gujarat,clear sky,305.38,303.4,305.38,305.38,21,2
Kerala,clear sky,301.97,301.12,301.97,301.97,34,8
Assam,broken clouds,305.24,303.27,305.24,305.24,21,59
